epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,277.849,1.39372,1.66938,2.23411,0.92257,0.1635,0.35563,0.14047,0.08024,0.13697,0.26432,0.11006,0.04755,1.51113,2.09975,1.8136,1.00204,0.0006338,0.0006338,0.0006338
71,281.728,1.39328,1.858,2.02666,0.93596,0.15691,0.40088,0.14129,0.08312,0.12294,0.29515,0.10863,0.048,1.5127,2.16727,1.86234,1.00859,0.000614,0.000614,0.000614
72,285.668,1.27786,1.65754,1.80918,0.89728,0.16759,0.33792,0.1394,0.08207,0.14875,0.26713,0.11373,0.05128,1.51598,2.24216,1.91736,1.00228,0.0005942,0.0005942,0.0005942
73,289.551,1.40072,1.69532,1.77992,0.90917,0.17174,0.3304,0.13596,0.08123,0.15325,0.26872,0.10865,0.0527,1.51402,2.18923,1.88883,1.00214,0.0005744,0.0005744,0.0005744
74,293.47,1.28117,1.7862,1.84772,0.88824,0.17023,0.39648,0.13832,0.08162,0.14085,0.27373,0.10221,0.04703,1.51077,2.18726,1.85895,0.99423,0.0005546,0.0005546,0.0005546
75,297.357,1.38393,1.94658,1.80282,0.98837,0.16519,0.42451,0.14252,0.08404,0.14437,0.29075,0.10335,0.04596,1.50002,2.27003,1.86653,0.97953,0.0005348,0.0005348,0.0005348
76,301.401,1.31119,1.79633,1.8202,0.89481,0.16697,0.42291,0.14659,0.08746,0.15009,0.36564,0.12127,0.05438,1.48706,2.23815,1.82853,0.99147,0.000515,0.000515,0.000515
77,305.34,1.32712,1.74655,1.67905,0.91357,0.16406,0.4141,0.14835,0.08613,0.15446,0.35683,0.12167,0.05415,1.49916,2.26762,1.79299,1.00065,0.0004952,0.0004952,0.0004952
78,309.21,1.39245,1.73505,1.73499,0.88064,0.17547,0.40969,0.15193,0.09303,0.16264,0.35683,0.12343,0.05615,1.47381,2.28557,1.78934,0.99809,0.0004754,0.0004754,0.0004754
79,313.266,1.34453,1.70798,1.67811,0.96335,0.16751,0.44053,0.15219,0.09277,0.14165,0.35242,0.12107,0.05626,1.44539,2.27054,1.79129,0.99106,0.0004556,0.0004556,0.0004556
80,317.234,1.41025,1.66118,1.73309,0.89337,0.1869,0.43172,0.16666,0.10174,0.16393,0.33921,0.13303,0.06316,1.40382,2.23267,1.77281,0.97824,0.0004358,0.0004358,0.0004358
81,321.131,1.31869,1.78532,1.92129,0.91875,0.18081,0.39648,0.15935,0.09681,0.16418,0.31278,0.1263,0.05832,1.39965,2.14872,1.75726,0.96484,0.000416,0.000416,0.000416
